,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
789,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Happy
790,6.003,0.632,1.34,0.598,0.658,0.308,0.228,Happy
791,5.987,0.736,1.168,0.502,0.608,0.283,0.343,Moderately Happy
792,5.971,0.786,1.549,0.498,0.658,0.416,0.247,Moderately Happy
793,6.096,0.719,1.584,0.605,0.724,0.328,0.259,Happy
794,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Happy
795,6.81,1.044,1.256,0.721,0.429,0.111,0.058,Happy
796,6.084,1.134,1.033,0.619,0.198,0.083,0.043,Happy
797,5.25,1.128,1.431,0.617,0.154,0.065,0.064,Moderately Happy
798,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Moderately Happy
799,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Moderately Happy
800,5.36,0.632,0.912,0.747,0.594,0.104,0.169,Moderately Happy
801,5.061,0.74,0.791,0.662,0.56,0.116,0.251,Moderately Happy
802,5.074,0.789,1.277,0.652,0.571,0.235,0.088,Moderately Happy
803,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Moderately Happy
804,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Moderately Happy
805,4.077,0.546,0.681,0.401,0.356,0.079,0.091,Moderately Happy
806,3.724,0.579,0.475,0.31,0.229,0.059,0.098,Not Happy
807,3.593,0.592,0.935,0.31,0.249,0.104,0.057,Not Happy
808,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Not Happy
809,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Not Happy
810,5.129,0.47,0.916,0.299,0.488,0.125,0.196,Moderately Happy
811,4.795,0.612,0.638,0.236,0.427,0.115,0.179,Moderately Happy
812,4.514,0.636,1.003,0.258,0.462,0.25,0.078,Moderately Happy
813,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Moderately Happy
814,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Moderately Happy
815,4.61,0.271,1.033,0.335,0.259,0.081,0.19,Moderately Happy
816,4.193,0.35,0.715,0.16,0.254,0.086,0.185,Moderately Happy
817,3.875,0.376,1.083,0.197,0.336,0.189,0.095,Not Happy
818,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Not Happy
819,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Not Happy
