,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,Happiness Category
209,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Happy
210,4.194,0.882,0.747,0.617,0.173,0.063,0.113,Moderately Happy
211,4.362,0.954,0.498,0.521,0.188,0.104,0.127,Moderately Happy
212,4.735,0.99,0.997,0.52,0.282,0.129,0.114,Moderately Happy
213,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Moderately Happy
214,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Moderately Happy
215,6.13,0.765,1.025,0.677,0.404,0.118,0.107,Happy
216,6.068,0.874,0.81,0.596,0.373,0.106,0.089,Happy
217,6.003,0.91,1.182,0.596,0.432,0.078,0.09,Happy
218,6.167,0.806,1.231,0.639,0.461,0.065,0.082,Happy
219,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Happy
220,5.429,1.152,1.228,0.774,0.449,0.152,0.087,Moderately Happy
221,5.517,1.28,1.052,0.681,0.415,0.185,0.084,Moderately Happy
222,5.611,1.321,1.477,0.695,0.479,0.099,0.183,Moderately Happy
223,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Moderately Happy
224,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Moderately Happy
225,4.512,0.191,0.604,0.441,0.435,0.15,0.243,Moderately Happy
226,4.508,0.293,0.379,0.346,0.367,0.172,0.295,Moderately Happy
227,4.46,0.339,0.865,0.353,0.409,0.313,0.165,Moderately Happy
228,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Moderately Happy
229,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Moderately Happy
230,7.406,1.29,1.318,0.889,0.642,0.414,0.234,Happy
231,7.413,1.406,1.135,0.811,0.571,0.41,0.255,Happy
232,7.469,1.444,1.54,0.809,0.618,0.245,0.383,Happy
233,7.632,1.305,1.592,0.874,0.681,0.202,0.393,Happy
234,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Happy
235,6.575,1.278,1.26,0.946,0.55,0.206,0.123,Happy
236,6.478,1.395,1.005,0.838,0.466,0.178,0.122,Happy
237,6.442,1.431,1.388,0.844,0.47,0.13,0.173,Happy
238,6.489,1.293,1.466,0.908,0.52,0.098,0.176,Happy
239,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Happy
240,3.896,1.06,0.905,0.434,0.319,0.111,0.068,Not Happy
241,4.121,1.159,0.724,0.349,0.281,0.093,0.062,Moderately Happy
242,4.465,1.198,1.156,0.357,0.312,0.044,0.076,Moderately Happy
243,4.758,1.036,1.164,0.404,0.356,0.032,0.052,Moderately Happy
244,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Moderately Happy
250,4.297,0.742,0.386,0.729,0.406,0.383,0.055,Moderately Happy
251,4.252,0.838,0.192,0.64,0.325,0.319,0.068,Moderately Happy
252,4.286,0.951,0.571,0.65,0.309,0.054,0.252,Moderately Happy
253,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Moderately Happy
254,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Moderately Happy
255,6.75,1.328,1.299,0.892,0.615,0.218,0.282,Happy
256,6.994,1.448,1.098,0.815,0.535,0.286,0.305,Happy
257,6.951,1.488,1.473,0.799,0.563,0.336,0.277,Happy
258,6.965,1.34,1.474,0.861,0.586,0.273,0.28,Happy
259,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Happy
260,4.633,0.546,0.68,0.401,0.423,0.044,0.231,Moderately Happy
261,4.276,0.631,0.494,0.297,0.41,0.033,0.212,Moderately Happy
262,4.12,0.667,0.874,0.296,0.423,0.257,0.025,Moderately Happy
263,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Moderately Happy
264,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Moderately Happy
265,4.857,1.154,0.929,0.882,0.077,0.014,0.0,Moderately Happy
266,5.033,1.249,0.755,0.8,0.058,0.041,0.0,Moderately Happy
267,5.227,1.289,1.239,0.81,0.096,0.0,0.043,Moderately Happy
268,5.358,1.154,1.202,0.879,0.131,0.0,0.044,Moderately Happy
269,5.287,1.181,1.156,0.999,0.067,0.0,0.034,Moderately Happy
270,6.123,0.746,1.044,0.644,0.577,0.095,0.275,Happy
271,6.324,0.835,0.871,0.54,0.504,0.087,0.288,Happy
272,6.454,0.872,1.256,0.54,0.531,0.283,0.077,Happy
273,6.382,0.781,1.268,0.608,0.604,0.179,0.071,Happy
274,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Happy
275,3.656,0.174,0.465,0.24,0.377,0.121,0.287,Not Happy
276,3.607,0.224,0.311,0.188,0.31,0.119,0.299,Not Happy
277,3.507,0.245,0.791,0.194,0.349,0.265,0.111,Not Happy
278,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Not Happy
279,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Moderately Happy
280,4.518,0.267,0.743,0.388,0.244,0.172,0.462,Moderately Happy
281,4.028,0.341,0.296,0.275,0.121,0.145,0.48,Moderately Happy
282,3.603,0.369,0.64,0.277,0.03,0.489,0.1,Not Happy
283,3.582,0.315,0.714,0.289,0.025,0.392,0.104,Not Happy
284,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Not Happy
285,4.788,0.595,0.953,0.695,0.401,0.068,0.23,Moderately Happy
286,4.871,0.694,0.756,0.584,0.268,0.069,0.204,Moderately Happy
287,5.181,0.731,1.144,0.583,0.348,0.236,0.073,Moderately Happy
288,5.504,0.62,1.205,0.622,0.459,0.197,0.074,Moderately Happy
289,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Moderately Happy
290,5.474,1.386,1.058,1.013,0.596,0.371,0.395,Moderately Happy
291,5.458,1.511,0.87,0.953,0.481,0.316,0.401,Moderately Happy
292,5.472,1.552,1.263,0.943,0.491,0.374,0.294,Moderately Happy
293,5.43,1.405,1.29,1.03,0.524,0.246,0.291,Moderately Happy
294,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Moderately Happy
295,4.8,1.121,1.202,0.759,0.321,0.028,0.128,Moderately Happy
296,5.145,1.241,0.932,0.676,0.198,0.045,0.099,Moderately Happy
297,5.324,1.286,1.343,0.688,0.176,0.078,0.037,Moderately Happy
298,5.62,1.171,1.401,0.732,0.259,0.061,0.022,Moderately Happy
299,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Moderately Happy
300,7.561,1.302,1.402,0.948,0.629,0.141,0.436,Happy
301,7.501,1.427,1.183,0.867,0.566,0.15,0.477,Happy
302,7.504,1.481,1.611,0.834,0.627,0.476,0.154,Happy
303,7.495,1.343,1.644,0.914,0.677,0.353,0.138,Happy
304,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Happy
