,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
411,67.0,5.615,1.067,0.951,0.523,0.407,0.103,0.171,2,dark purple
412,68.0,5.525,1.102,1.358,0.52,0.466,0.152,0.093,2,dark purple
413,70.0,5.566,0.985,1.35,0.553,0.496,0.116,0.148,2,dark purple
414,72.0,5.525,1.044,1.303,0.673,0.416,0.133,0.152,2,dark purple
415,56.0,5.833,1.147,1.257,0.731,0.213,0.01,0.026,2,dark purple
416,60.0,5.813,1.269,1.064,0.647,0.189,0.018,0.02,2,dark purple
417,52.0,5.902,1.315,1.474,0.629,0.234,0.01,0.012,2,dark purple
418,50.0,5.952,1.197,1.527,0.716,0.35,0.026,0.006,1,purple
419,42.0,6.149,1.238,1.515,0.818,0.291,0.043,0.042,1,purple
420,17.0,6.946,1.564,1.22,0.919,0.616,0.378,0.28,1,purple
421,20.0,6.871,1.698,1.04,0.845,0.549,0.353,0.276,1,purple
422,18.0,6.863,1.742,1.458,0.845,0.597,0.283,0.319,1,purple
423,17.0,6.91,1.576,1.52,0.896,0.632,0.196,0.321,1,purple
424,14.0,7.09,1.609,1.479,1.012,0.526,0.194,0.316,1,purple
425,147.0,3.681,0.208,0.668,0.467,0.192,0.081,0.213,0,pink
426,148.0,3.695,0.28,0.461,0.371,0.137,0.075,0.22,0,pink
427,144.0,3.644,0.306,0.913,0.375,0.189,0.209,0.067,0,pink
428,143.0,3.774,0.262,0.908,0.402,0.221,0.155,0.049,0,pink
429,143.0,3.933,0.274,0.916,0.555,0.148,0.169,0.041,0,pink
430,131.0,4.292,0.016,0.411,0.226,0.431,0.07,0.331,0,pink
431,132.0,4.156,0.087,0.147,0.294,0.414,0.076,0.31,0,pink
432,136.0,3.97,0.233,0.513,0.315,0.467,0.287,0.073,0,pink
433,147.0,3.587,0.186,0.541,0.306,0.531,0.21,0.08,0,pink
434,150.0,3.41,0.191,0.56,0.495,0.443,0.218,0.089,0,pink
435,61.0,5.77,1.125,1.07,0.724,0.53,0.105,0.331,2,dark purple
436,47.0,6.005,1.251,0.88,0.624,0.39,0.091,0.415,1,purple
437,42.0,6.084,1.291,1.285,0.619,0.402,0.417,0.066,1,purple
438,35.0,6.322,1.161,1.258,0.669,0.356,0.311,0.059,1,purple
439,80.0,5.339,1.221,1.171,0.828,0.508,0.26,0.024,2,dark purple
440,138.0,3.995,0.261,1.035,0.206,0.389,0.124,0.188,0,pink
441,135.0,4.073,0.313,0.863,0.163,0.275,0.136,0.211,0,pink
442,127.0,4.19,0.476,1.281,0.169,0.307,0.183,0.105,0,pink
443,118.0,4.447,0.37,1.233,0.152,0.367,0.139,0.056,0,pink
444,128.0,4.39,0.385,1.105,0.308,0.327,0.153,0.052,0,pink
445,37.0,6.302,1.207,1.302,0.887,0.604,0.136,0.518,1,purple
446,30.0,6.488,1.308,1.099,0.803,0.55,0.176,0.562,1,purple
