,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom to make life choices,Lack of Corruption,Donations to Charity,clusters,cluster
400,97.0,4.898,0.375,1.041,0.076,0.318,0.125,0.164,2,dark purple
401,0.0,5.323,0.9825,1.1265,0.6505,0.431,0.155,0.127,1,purple
402,139.0,3.808,0.521,1.19,0.0,0.391,0.157,0.119,0,pink
403,141.0,3.808,0.472,1.215,0.079,0.423,0.116,0.112,0,pink
404,144.0,3.802,0.489,1.169,0.168,0.359,0.107,0.093,0,pink
405,116.0,4.571,0.071,0.79,0.342,0.285,0.062,0.244,0,pink
406,150.0,3.622,0.107,0.504,0.232,0.257,0.049,0.241,0,pink
407,148.0,3.533,0.119,0.872,0.23,0.333,0.267,0.039,0,pink
408,149.0,3.495,0.076,0.858,0.267,0.419,0.206,0.03,0,pink
409,141.0,3.975,0.073,0.922,0.443,0.37,0.233,0.033,0,pink
410,63.0,5.754,1.131,1.119,0.704,0.417,0.11,0.183,2,dark purple
